S,Q,I,Q,R,D
7629155.324176644,41674.5143307485,50.484528870855804,0.8097230114400568,47004.27578411001,4360.591456607546
7626670.446649332,44159.39185806053,50.0661399525298,0.8030124378214726,47004.580962115404,4360.711378094098
7624038.409686343,46791.42882104873,49.65121841898272,0.7963574857476688,47004.88361096211,4360.830305733017
7621250.6088470565,49579.22966033579,49.23973553437412,0.7897576911609102,47005.1837516127,4360.948247761628
7618297.950246159,52531.888261233355,48.831662801010886,0.7832125950656088,47005.48140485513,4361.065212348659
7615170.8243893795,55659.01411801324,48.42697195737365,0.7767217430085407,47005.776591304544,4361.181207594935
7611859.078818862,58970.759688530765,48.02563497615948,0.7702846847510919,47006.06933140493,4361.296241534024
7608351.989540938,62477.84896645488,47.62762406234081,0.7639009740581931,47006.35964543062,4361.410322132846
7604638.231212371,66191.6072950229,47.23291165124047,0.7575701685582009,47006.64755348782,4361.523457292246
7600705.846065221,70123.99244217305,46.84147040662269,0.751291829645953,47006.933075516026,4361.635654847567
7596542.211555371,74287.62695202339,46.45327321879987,0.7450655224121335,47007.21623128946,4361.746922569196
7592134.006725538,78695.83178185712,46.06829320275508,0.7388908155887108,47007.4970404184,4361.857268163116
7587467.177280462,83362.66122693224,45.6865036962801,0.7327672815042295,47007.77552235063,4361.966699271442
7582526.899379961,88302.93912743364,45.30787825812892,0.7266944960451819,47008.051696372735,4362.075223472949
7577297.542164796,93532.29634259807,44.932390666186514,0.7206720386211651,47008.32558161145,4362.182848283601
7571762.629041072,99067.20946632231,44.56001491565278,0.7146994921324316,47008.59719703499,4362.289581157074
7565904.797761135,104925.04074625921,44.19072521724157,0.7087764429389858,47008.8665614544,4362.39542948527
7559705.7593530435,111124.07915435045,43.82449599539462,0.7029024808307132,47009.1336935248,4362.50040059883
7553146.255966632,117683.58254076201,43.4613018865103,0.6970771989982271,47009.3986117467,4362.604501767644
7546206.017722299,124623.82078509433,43.101117737187,0.6913001940042437,47009.66133446731,4362.70774020135
7538863.718669058,131966.1198383358,42.74391860248114,0.6855710657553671,47009.921879881775,4362.810123049838
7531096.931981279,139732.90652611508,42.389679744179524,0.6798894174742145,47010.180266034455,4362.911657403743
7522882.084549225,147947.75395816876,42.03837662908615,0.6742548556718357,47010.43651082016,4363.012350294938
7514194.411147027,156635.42736036636,41.68998492732308,0.6686669901204007,47010.690631985395,4363.112208697018
7505007.908393493,165821.93011390138,41.34448051064545,0.6631254338261361,47010.9426471296,4363.211239525785
7495295.288756242,175534.5497511529,41.00183945077046,0.6576298030025014,47011.19257370636,4363.309449639724
7485027.934888358,185801.9036190365,40.6620380177202,0.6521797170435956,47011.4404290246,4363.406845840486
7474175.854629197,196653.98387819715,40.32505267817817,0.6467747984977894,47011.68623024983,4363.50343487335
7462707.637047422,208122.20145997265,39.990860093859496,0.6414146730415795,47011.929994405255,4363.599223427693
7450590.409954876,220239.42855251933,39.65943711989459,0.6360989694536615,47012.17173837304,4363.694218137455
7437789.799374666,233040.03913272943,39.33076080322622,0.6308273195892182,47012.41147889543,4363.788425581599
